Fecha	Comportamiento de la accion	Punto medio HIGH-LOW
22/10/2021	BAJA	4.800003000000004
25/10/2021	SUBE	5.212493999999992
26/10/2021	BAJA	2.90000950000001
27/10/2021	BAJA	3.4499970000000246
28/10/2021	SUBE	4.41499349999998
29/10/2021	SUBE	5.3300020000000075
01/11/2021	SUBE	2.889999500000016
02/11/2021	SUBE	4.029999000000004
03/11/2021	SUBE	7.054992499999997
04/11/2021	SUBE	8.035003499999988
05/11/2021	SUBE	3.784988499999997
08/11/2021	SUBE	4.44000250000002
09/11/2021	SUBE	5.425003000000004
10/11/2021	BAJA	12.009994500000005
11/11/2021	BAJA	4.839995999999985
12/11/2021	BAJA	6.2949979999999925
15/11/2021	BAJA	8.027496500000012
16/11/2021	SUBE	3.987503000000004
17/11/2021	SUBE	4.660004000000015
18/11/2021	BAJA	6.81500250000002
19/11/2021	BAJA	9.850006000000008
22/11/2021	BAJA	17.175003000000004
23/11/2021	BAJA	9.296997000000005
24/11/2021	SUBE	7.7274935000000085
26/11/2021	BAJA	9.284988499999997
29/11/2021	SUBE	10.270004499999999
30/11/2021	BAJA	9.64999400000002
01/12/2021	BAJA	6.399993999999992
02/12/2021	SUBE	6.9199979999999925
03/12/2021	BAJA	13.339996499999998
06/12/2021	SUBE	7.339995999999999
07/12/2021	SUBE	3.8574979999999925
08/12/2021	SUBE	8.615005499999995
09/12/2021	BAJA	5.5449979999999925
10/12/2021	BAJA	5.339996500000012
13/12/2021	SUBE	5.964996500000012
14/12/2021	BAJA	6.285004000000001
15/12/2021	SUBE	6.514998999999989
16/12/2021	BAJA	7.665008499999999
17/12/2021	SUBE	7.2450105000000065
20/12/2021	SUBE	5.3400120000000015
21/12/2021	SUBE	8.647491500000001
22/12/2021	SUBE	5.877487500000001
23/12/2021	SUBE	5.625
27/12/2021	SUBE	9.005005000000011
28/12/2021	SUBE	3.6849975000000086
29/12/2021	SUBE	4.113495
30/12/2021	BAJA	4.5900120000000015
31/12/2021	SUBE	4.004990000000021
03/01/2022	BAJA	11.200011999999987
04/01/2022	BAJA	14.020004499999999
05/01/2022	BAJA	9.135986500000001
06/01/2022	SUBE	6.597504000000001
07/01/2022	BAJA	8.785003500000002
10/01/2022	SUBE	7.230003500000009
11/01/2022	SUBE	9.739997500000001
12/01/2022	SUBE	5.279999000000004
13/01/2022	BAJA	11.99999249999999
14/01/2022	SUBE	7.860000499999998
18/01/2022	BAJA	5.134994499999991
19/01/2022	BAJA	4.989998
20/01/2022	BAJA	4.7150040000000075
21/01/2022	BAJA	5.510002
24/01/2022	SUBE	12.449996999999996
25/01/2022	BAJA	6.419998000000007
26/01/2022	BAJA	8.162498500000012
27/01/2022	BAJA	7.824996999999996
28/01/2022	SUBE	6.804999999999993
31/01/2022	SUBE	11.109001000000006
01/02/2022	SUBE	3.8725049999999896
02/02/2022	BAJA	5.9550020000000075
03/02/2022	SUBE	4.674995499999994
04/02/2022	SUBE	7.269997000000004
07/02/2022	BAJA	5.599998500000012
08/02/2022	SUBE	7.7099990000000105
09/02/2022	SUBE	4.170012999999983
10/02/2022	SUBE	6.6599879999999985
11/02/2022	BAJA	10.057495000000003
14/02/2022	SUBE	7.274993499999994
15/02/2022	SUBE	5.614990500000005
16/02/2022	SUBE	7.255004499999998
17/02/2022	BAJA	8.24000550000001
18/02/2022	BAJA	7.919998000000007
22/02/2022	BAJA	6.845001500000009
23/02/2022	BAJA	6.599998499999998
24/02/2022	SUBE	18.515006999999997
25/02/2022	SUBE	5.4950105000000065
28/02/2022	SUBE	4.760009999999994
01/03/2022	BAJA	12.0
02/03/2022	BAJA	4.279998500000005
03/03/2022	BAJA	13.485008500000006
04/03/2022	BAJA	9.449996999999996
07/03/2022	BAJA	7.7799989999999895
08/03/2022	SUBE	7.550003000000004
09/03/2022	BAJA	3.0099944999999906
10/03/2022	BAJA	3.400001500000002
11/03/2022	BAJA	3.134994500000005
14/03/2022	BAJA	4.1650009999999895
15/03/2022	SUBE	7.717499000000004
16/03/2022	SUBE	11.48000350000001
17/03/2022	SUBE	5.115005499999995
18/03/2022	SUBE	7.5700069999999755
21/03/2022	BAJA	4.725006000000008
22/03/2022	SUBE	6.697494500000005
23/03/2022	BAJA	7.844986000000006
24/03/2022	BAJA	4.595001499999995
25/03/2022	BAJA	6.215011500000003
28/03/2022	BAJA	6.6999964999999975
29/03/2022	SUBE	4.210007000000019
30/03/2022	BAJA	18.7299955
31/03/2022	SUBE	8.910004
01/04/2022	BAJA	6.264999500000002
04/04/2022	SUBE	5.2549974999999876
05/04/2022	BAJA	3.531006000000005
06/04/2022	BAJA	5.885002
07/04/2022	BAJA	5.430000000000007
08/04/2022	BAJA	4.430000000000007
11/04/2022	SUBE	3.7799990000000037
12/04/2022	BAJA	5.032500999999996
13/04/2022	SUBE	3.125
14/04/2022	BAJA	6.310005000000004
18/04/2022	BAJA	4.209998999999996
19/04/2022	SUBE	5.622497499999994
20/04/2022	BAJA	4.654999000000004
21/04/2022	BAJA	9.975006000000008
22/04/2022	BAJA	4.974998499999998
